ID,Sev,Pri,State,Product,Comp,Summary,Sum
29713,nor,P3,RESO,Platform,UI,[Linked Resources] NewFolderDialog should disable link ta...,'[Linked Resources] NewFolderDialog should disable link ta...'
29717,blo,P1,RESO,Platform,SWT,[PERFORMANCE]SWT Motif exteremely slow with LANG en_US.UTF-8,'[PERFORMANCE]SWT Motif exteremely slow with LANG en_US.UTF-8'
29719,nor,P2,RESO,Platform,UI,[Linked Resources] comments about mini new folder dialog,'[Linked Resources] comments about mini new folder dialog'
29720,enh,P2,VERI,Platform,Debug,launch dialog for edit/run of a single config,'launch dialog for edit/run of a single config'
29721,nor,P4,RESO,Platform,Team,[CVS SyncView] Not clear you're in incomming mode,'[CVS SyncView] Not clear you're in incomming mode'
29726,nor,P2,RESO,JDT,UI,New compiler setting added: OPTION_ReportIncompatibleNonI...,'New compiler setting added: OPTION_ReportIncompatibleNonI...'
29733,nor,P3,RESO,Platform,Help,Remote dependency on internal ui class WorkingSet,'Remote dependency on internal ui class WorkingSet'
29734,nor,P3,RESO,Platform,UI,[Viewers] AbstractTreeViewer.internalRefresh is public,'[Viewers] AbstractTreeViewer.internalRefresh is public'
29740,nor,P3,RESO,Platform,Update,extension point scheme should not appear in binary runtim...,'extension point scheme should not appear in binary runtim...'
29741,nor,P3,RESO,Platform,Help,extension point scheme should not appear in binary runtim...,'extension point scheme should not appear in binary runtim...'
29742,nor,P3,RESO,PDE,UI,extension point scheme should not appear in binary runtim...,'extension point scheme should not appear in binary runtim...'
29743,nor,P2,VERI,Platform,Ant,[External Tools] Apply button does not enable in  refresh...,'[External Tools] Apply button does not enable in  refresh...'
29744,nor,P2,VERI,Platform,Ant,[External Tools] refresh ${working_set} does not work,'[External Tools] refresh ${working_set} does not work'
29747,nor,P2,VERI,JDT,Debug,StepFilter prefs 'Restore Defaults' doesn't work,'StepFilter prefs 'Restore Defaults' doesn't work'
29748,nor,P3,RESO,Platform,Resource,[boot] Unable to launch a runtime-workbench on J9SC,'[boot] Unable to launch a runtime-workbench on J9SC'
29752,nor,P3,VERI,Platform,Debug,Removal of the  launchers  extension point,'Removal of the  launchers  extension point'
29753,nor,P2,VERI,JDT,Debug,Eclipse keeps a lock on jar files even after a launch con...,'Eclipse keeps a lock on jar files even after a launch con...'
29755,nor,P3,RESO,JDT,UI,Attach source does not allow one to select a folder... [b...,'Attach source does not allow one to select a folder... [b...'
29761,nor,P3,VERI,JDT,Core,Regular expression pattern in exclusion filter is too gre...,'Regular expression pattern in exclusion filter is too gre...'
29762,nor,P3,RESO,Platform,Doc,SWT FAQ bugs/improvements,'SWT FAQ bugs/improvements'
29765,nor,P2,RESO,Platform,SWT,BIDI: ToolTiptext do not have Right to left Reading order,'BIDI: ToolTiptext do not have Right to left Reading order'
29771,nor,P3,VERI,JDT,Core,No reference found to IResource.getLocation when no case ...,'No reference found to IResource.getLocation when no case ...'
29772,nor,P3,RESO,Platform,SWT,[Editor Mgmt] Last editor tab gets cut off when unnecessary,'[Editor Mgmt] Last editor tab gets cut off when unnecessary'
29773,nor,P3,RESO,JDT,Text,I can input a  tab  into a Java file.,'I can input a  tab  into a Java file.'
29778,maj,P1,CLOS,Platform,UI,[Navigator] Exception occurs during drag file into Run-ti...,'[Navigator] Exception occurs during drag file into Run-ti...'
29780,nor,P2,VERI,JDT,Debug,AssertionFailedException in jdt.launching on MacOS X,'AssertionFailedException in jdt.launching on MacOS X'
29781,enh,P2,RESO,Platform,SWT,BIDI: Lack of leading and trailig styles for alignment of...,'BIDI: Lack of leading and trailig styles for alignment of...'
29783,nor,P2,RESO,Platform,SWT,BIDI: drop-down list of rtl-oriented CCombo is displayed ...,'BIDI: drop-down list of rtl-oriented CCombo is displayed ...'
29784,nor,P3,RESO,Platform,SWT,BIDI: keyboard's left and right arrows change value of rt...,'BIDI: keyboard's left and right arrows change value of rt...'
29786,nor,P3,RESO,Platform,SWT,BIDI: keyborad's left and right arrows move focus between...,'BIDI: keyborad's left and right arrows move focus between...'
29787,nor,P3,RESO,Platform,SWT,BIDI: problem with keyboard's left and right arrows  when...,'BIDI: problem with keyboard's left and right arrows  when...'
29788,nor,P3,RESO,Platform,SWT,BIDI: rtl-oriented Tracker has wrong behavior.,'BIDI: rtl-oriented Tracker has wrong behavior.'
29789,nor,P3,RESO,Platform,Text,End key doesn't work if last word selected,'End key doesn't work if last word selected'
29790,nor,P3,VERI,JDT,Core,OOM Exception in search cause IDE freeze,'OOM Exception in search cause IDE freeze'
29791,nor,P2,RESO,Platform,Compare,Rename 'Compare to Patch' to 'Apply Patch','Rename 'Compare to Patch' to 'Apply Patch''
29792,nor,P3,RESO,Platform,Text,Property key (Shift F10) does not work in the editor,'Property key (Shift F10) does not work in the editor'
29793,nor,P3,RESO,Platform,Compare,Automatically suggest a fuzz factor when applying a patch,'Automatically suggest a fuzz factor when applying a patch'
29798,maj,P3,RESO,Platform,Team,Please update about.properties for org.eclipse.team.extras,'Please update about.properties for org.eclipse.team.extras'
29805,nor,P3,RESO,JDT,UI,Resolve end symbol problem in Open Type dialog,'Resolve end symbol problem in Open Type dialog'
29806,enh,P3,VERI,Platform,Ant,Default script name,'Default script name'
29811,enh,P2,VERI,Platform,Ant,Add  Ant View  to top level menu,'Add  Ant View  to top level menu'
29812,enh,P2,VERI,Platform,Ant,Define placeholder for Ant View,'Define placeholder for Ant View'
29814,nor,P1,RESO,Platform,SWT,GP - No core available - GPF on win2k,'GP - No core available - GPF on win2k'
29815,nor,P2,VERI,Platform,Ant,Ant artwork,'Ant artwork'
29816,enh,P2,VERI,Platform,Ant,Support  delete  key in the Ant view for active targets,'Support  delete  key in the Ant view for active targets'
29818,nor,P2,VERI,Platform,Ant,Replace  Go To File  with  Open With -> ,'Replace  Go To File  with  Open With -> '
29820,enh,P2,VERI,Platform,Ant,Reduce clutter in Ant View,'Reduce clutter in Ant View'
